,Match_ID,Season,Team_1,Team_2,Toss_Winner,Toss_Decision,Venue,City,Result,Winner,Win_Margin,Win_Type,Player_Of_Match
256,88824,2018-19,Sydney Thunder,Sydney Sixers,Sydney Sixers,Bowling,Sydney Showground Stadium,Sydney,True,Sydney Thunder,21,runs,JC Buttler
257,88825,2018-19,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Bowling,Perth Stadium,Perth,True,Perth Scorchers,7,wickets,JA Richardson
258,88826,2018-19,Sydney Sixers,Melbourne Stars,Melbourne Stars,Bowling,Sydney Cricket Ground,Sydney,True,Melbourne Stars,5,wickets,PSP Handscomb
259,88827,2018-19,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,7,wickets,MS Wade
260,88828,2018-19,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Sydney Sixers,33,runs,BAD Manenti
261,88829,2018-19,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Aurora Stadium, Launceston",Launceston,True,Hobart Hurricanes,6,wickets,RP Meredith
262,88830,2018-19,Adelaide Strikers,Sydney Thunder,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Adelaide Strikers,20,runs,PM Siddle
263,88831,2018-19,Brisbane Heat,Sydney Sixers,Sydney Sixers,Bowling,Carrara Oval,Carrara,True,Sydney Sixers,5,wickets,CA Lynn
264,88832,2018-19,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Bowling,Melbourne Cricket Ground,Melbourne,True,Melbourne Stars,7,wickets,MP Stoinis
265,88833,2018-19,Sydney Thunder,Perth Scorchers,Sydney Thunder,Batting,Sydney Showground Stadium,Sydney,True,Sydney Thunder,1,run,CJ Ferguson
266,88834,2018-19,Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,Bowling,"GMHBA Stadium, South Geelong, Victoria",Geelong,True,Adelaide Strikers,32,runs,J Weatherald
267,88835,2018-19,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,5,wickets,DJM Short
268,88836,2018-19,Sydney Thunder,Melbourne Stars,Sydney Thunder,Batting,Carrara Oval,Carrara,True,Melbourne Stars,8,wickets,MP Stoinis
269,88837,2018-19,Perth Scorchers,Brisbane Heat,Brisbane Heat,Bowling,Perth Stadium,Perth,True,Brisbane Heat,5,wickets,Mujeeb Ur Rahman
270,88838,2018-19,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Sydney Sixers,6,wickets,JL Denly
271,88839,2018-19,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,6,wickets,SB Harper
272,88840,2018-19,Brisbane Heat,Sydney Thunder,Sydney Thunder,Bowling,Sydney Showground Stadium,Sydney,True,Brisbane Heat,15,runs,CA Lynn
273,88841,2018-19,Melbourne Stars,Perth Scorchers,Perth Scorchers,Bowling,Melbourne Cricket Ground,Melbourne,True,Perth Scorchers,6,wickets,AJ Tye
274,88842,2018-19,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Melbourne Renegades,8,wickets,SB Harper
275,88843,2018-19,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Bowling,Adelaide Oval,Adelaide,True,Adelaide Strikers,41,runs,CA Ingram
276,88844,2018-19,Sydney Thunder,Adelaide Strikers,Sydney Thunder,Batting,Sydney Showground Stadium,Sydney,True,Sydney Thunder,71,runs,SR Watson
277,88845,2018-19,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Bowling,Geelong Cricket Ground,Geelong,True,Brisbane Heat,101,runs,M Bryant
278,88846,2018-19,Sydney Sixers,Perth Scorchers,Perth Scorchers,Bowling,Perth Stadium,Perth,True,Perth Scorchers,7,wickets,CT Bancroft
279,88847,2018-19,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Bowling,Melbourne Cricket Ground,Melbourne,True,Hobart Hurricanes,59,runs,DJM Short
280,88848,2018-19,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,Bowling,Sydney Cricket Ground,Sydney,True,Melbourne Renegades,7,wickets,KW Richardson
281,88849,2018-19,Sydney Thunder,Brisbane Heat,Sydney Thunder,Batting,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,False,,0,,
282,88850,2018-19,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Bowling,Perth Stadium,Perth,True,Hobart Hurricanes,4,wickets,GJ Bailey
283,88851,2018-19,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Bowling,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Stars,6,wickets,MP Stoinis
284,88852,2018-19,Sydney Sixers,Brisbane Heat,Brisbane Heat,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,79,runs,JM Vince
285,88853,2018-19,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,Batting,Adelaide Oval,Adelaide,True,Hobart Hurricanes,10,wickets,MS Wade
286,88854,2018-19,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Bowling,Sydney Showground Stadium,Sydney,True,Melbourne Renegades,12,runs,HF Gurney
287,88855,2018-19,Melbourne Stars,Adelaide Strikers,Adelaide Strikers,Bowling,"Ted Summerton Reserve, Moe",Moe,True,Melbourne Stars,44,runs,BR Dunk
288,88856,2018-19,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,9,wickets,JR Philippe
289,88857,2018-19,Perth Scorchers,Sydney Thunder,Sydney Thunder,Bowling,Perth Stadium,Perth,True,Sydney Thunder,6,wickets,CJ Ferguson
290,88858,2018-19,Melbourne Stars,Brisbane Heat,Brisbane Heat,Bowling,Melbourne Cricket Ground,Melbourne,True,Melbourne Stars,5,runs,MP Stoinis
291,88859,2018-19,Melbourne Renegades,Perth Scorchers,Perth Scorchers,Bowling,Perth Stadium,Perth,True,Melbourne Renegades,78,runs,CP Tremain
292,88860,2018-19,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,Bowling,"Bellerive Oval, Hobart",Hobart,True,Hobart Hurricanes,9,wickets,DJM Short
293,88861,2018-19,Adelaide Strikers,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,8,wickets,BJ Dwarshuis
294,88862,2018-19,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,Batting,"Docklands Stadium, Melbourne",Melbourne,True,Melbourne Renegades,27,runs,CJ Boyce
295,88863,2018-19,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Bowling,"Aurora Stadium, Launceston",Launceston,True,Adelaide Strikers,7,wickets,J Weatherald
296,88864,2018-19,Perth Scorchers,Brisbane Heat,Brisbane Heat,Bowling,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,True,Brisbane Heat,6,wickets,Mujeeb Ur Rahman
297,88865,2018-19,Sydney Thunder,Sydney Sixers,Sydney Sixers,Bowling,Sydney Cricket Ground,Sydney,True,Sydney Sixers,9,wickets,DP Hughes
